=== Snake RL Training Log ===
Started: 2026-05-30 14:41:10
Log file: logs/training_20260530_144110.log
========================================
Hyperparameters:
  Grid: 20x20
  Network: 11 → 256 → 3
  LR: 0.001, Gamma: 0.9
  Epsilon: 1.0 → 0.01 (decay=0.99)
  Batch: 1000, Memory: 100000
  Rewards: eat=10, die=-10, step=0
========================================
Training dimulai! Tekan Ctrl+C atau tutup window untuk berhenti.

[Episode  128] Score:   3 | Record:   3 | Mean:   0.40 | Epsilon: 0.2763 | Memory:   8541
[Episode  129] Score:   2 | Record:   3 | Mean:   0.41 | Epsilon: 0.2735 | Memory:   8590
[Episode  130] Score:   0 | Record:   3 | Mean:   0.41 | Epsilon: 0.2708 | Memory:   8620
[Episode  131] Score:   3 | Record:   3 | Mean:   0.43 | Epsilon: 0.2680 | Memory:   8739
[Episode  132] Score:   3 | Record:   3 | Mean:   0.45 | Epsilon: 0.2654 | Memory:   8784
[Episode  133] Score:   1 | Record:   3 | Mean:   0.45 | Epsilon: 0.2627 | Memory:   8799
[Episode  134] Score:   0 | Record:   3 | Mean:   0.45 | Epsilon: 0.2601 | Memory:   8823
[Episode  135] Score:   2 | Record:   3 | Mean:   0.46 | Epsilon: 0.2575 | Memory:   8881
[Episode  136] Score:   1 | Record:   3 | Mean:   0.46 | Epsilon: 0.2549 | Memory:   8900
[Episode  137] Score:   1 | Record:   3 | Mean:   0.47 | Epsilon: 0.2524 | Memory:   9008
[Episode  138] Score:   1 | Record:   3 | Mean:   0.47 | Epsilon: 0.2498 | Memory:   9052
[Episode  139] Score:   3 | Record:   3 | Mean:   0.49 | Epsilon: 0.2473 | Memory:   9081
[Episode  140] Score:   1 | Record:   3 | Mean:   0.49 | Epsilon: 0.2449 | Memory:   9124
[Episode  141] Score:   3 | Record:   3 | Mean:   0.51 | Epsilon: 0.2424 | Memory:   9170
[Episode  142] Score:   3 | Record:   3 | Mean:   0.53 | Epsilon: 0.2400 | Memory:   9216
[Episode  143] Score:   2 | Record:   3 | Mean:   0.54 | Epsilon: 0.2376 | Memory:   9300
[Episode  144] Score:   0 | Record:   3 | Mean:   0.53 | Epsilon: 0.2352 | Memory:   9335
[Episode  145] Score:   3 | Record:   3 | Mean:   0.55 | Epsilon: 0.2329 | Memory:   9402
[Episode  146] Score:   1 | Record:   3 | Mean:   0.55 | Epsilon: 0.2305 | Memory:   9420
[Episode  147] Score:   2 | Record:   3 | Mean:   0.56 | Epsilon: 0.2282 | Memory:   9483
